Date,Closing Price,Pair
10/09/02,0.6325,EUR_GBP
10/10/02,0.6304,EUR_GBP
10/11/02,0.6324,EUR_GBP
10/14/02,0.6339,EUR_GBP
10/15/02,0.6322,EUR_GBP
10/16/02,0.6315,EUR_GBP
10/17/02,0.6262,EUR_GBP
10/18/02,0.6287,EUR_GBP
10/21/02,0.631,EUR_GBP
10/22/02,0.6323,EUR_GBP
10/23/02,0.6303,EUR_GBP
10/24/02,0.6292,EUR_GBP
10/25/02,0.6293,EUR_GBP
10/28/02,0.6312,EUR_GBP
10/29/02,0.6316,EUR_GBP
10/30/02,0.6316,EUR_GBP
10/31/02,0.633,EUR_GBP
11/01/02,0.6375,EUR_GBP
11/04/02,0.6406,EUR_GBP
11/05/02,0.6397,EUR_GBP
11/06/02,0.6411,EUR_GBP
11/07/02,0.639,EUR_GBP
11/08/02,0.6364,EUR_GBP
11/11/02,0.6367,EUR_GBP
11/12/02,0.6369,EUR_GBP
11/13/02,0.6353,EUR_GBP
11/14/02,0.636,EUR_GBP
11/15/02,0.6387,EUR_GBP
11/18/02,0.6378,EUR_GBP
11/19/02,0.6349,EUR_GBP
11/20/02,0.6372,EUR_GBP
11/21/02,0.6338,EUR_GBP
11/22/02,0.6311,EUR_GBP
11/25/02,0.6338,EUR_GBP
11/26/02,0.6401,EUR_GBP
11/27/02,0.6401,EUR_GBP
11/28/02,0.641,EUR_GBP
11/29/02,0.6387,EUR_GBP
12/02/02,0.6398,EUR_GBP
12/03/02,0.6344,EUR_GBP
12/04/02,0.6371,EUR_GBP
12/05/02,0.6367,EUR_GBP
12/06/02,0.6407,EUR_GBP
12/09/02,0.6399,EUR_GBP
12/10/02,0.6421,EUR_GBP
12/11/02,0.6393,EUR_GBP
12/12/02,0.6439,EUR_GBP
12/13/02,0.6439,EUR_GBP
12/16/02,0.6423,EUR_GBP
12/17/02,0.6433,EUR_GBP
12/18/02,0.641,EUR_GBP
12/19/02,0.6402,EUR_GBP
12/20/02,0.6409,EUR_GBP
12/23/02,0.644,EUR_GBP
12/24/02,0.6458,EUR_GBP
12/25/02,0.6468,EUR_GBP
12/26/02,0.6486,EUR_GBP
12/27/02,0.6508,EUR_GBP
12/30/02,0.6535,EUR_GBP
12/31/02,0.6516,EUR_GBP
1/02/03,0.65,EUR_GBP
1/03/03,0.6476,EUR_GBP
1/06/03,0.6507,EUR_GBP
1/07/03,0.6492,EUR_GBP
1/08/03,0.6507,EUR_GBP
1/09/03,0.6529,EUR_GBP
1/10/03,0.6579,EUR_GBP
1/13/03,0.6589,EUR_GBP
1/14/03,0.6574,EUR_GBP
1/15/03,0.6574,EUR_GBP
1/16/03,0.6589,EUR_GBP
1/17/03,0.6613,EUR_GBP
1/20/03,0.6645,EUR_GBP
1/21/03,0.6633,EUR_GBP
1/22/03,0.6627,EUR_GBP
1/23/03,0.6627,EUR_GBP
1/24/03,0.6632,EUR_GBP
1/27/03,0.6632,EUR_GBP
1/28/03,0.6597,EUR_GBP
1/29/03,0.6579,EUR_GBP
1/30/03,0.654,EUR_GBP
1/31/03,0.6536,EUR_GBP
2/03/03,0.6559,EUR_GBP
2/04/03,0.66,EUR_GBP
2/05/03,0.6573,EUR_GBP
2/06/03,0.6611,EUR_GBP
2/07/03,0.6635,EUR_GBP
2/10/03,0.6602,EUR_GBP
2/11/03,0.6633,EUR_GBP
2/12/03,0.6631,EUR_GBP
2/13/03,0.6685,EUR_GBP
2/14/03,0.6682,EUR_GBP
2/17/03,0.6712,EUR_GBP
2/18/03,0.6721,EUR_GBP
2/19/03,0.6726,EUR_GBP
2/20/03,0.6788,EUR_GBP
2/21/03,0.6815,EUR_GBP
2/24/03,0.6801,EUR_GBP
2/25/03,0.6835,EUR_GBP
2/26/03,0.6815,EUR_GBP
2/27/03,0.6804,EUR_GBP
2/28/03,0.6862,EUR_GBP
3/03/03,0.6901,EUR_GBP
3/04/03,0.6884,EUR_GBP
3/05/03,0.6847,EUR_GBP
3/06/03,0.6842,EUR_GBP
3/07/03,0.6871,EUR_GBP
3/10/03,0.6902,EUR_GBP
3/11/03,0.6873,EUR_GBP
3/12/03,0.6823,EUR_GBP
3/13/03,0.6745,EUR_GBP
3/14/03,0.6784,EUR_GBP
3/17/03,0.6771,EUR_GBP
3/18/03,0.6788,EUR_GBP
3/19/03,0.6754,EUR_GBP
3/20/03,0.6782,EUR_GBP
3/21/03,0.6739,EUR_GBP
3/24/03,0.676,EUR_GBP
3/25/03,0.6772,EUR_GBP
